Junta municipal,Capital Asunción,24,77016,26693,1152,6083,11856,7024,710,1806,4703,20967,5644,5082,4678,1700,961,16748,15832
Junta municipal,Concepción Concepción,12,9704,11640,606,494,319,979,223
Junta municipal,Concepción Belén,9,1949,1615,572
Junta municipal,Concepción Azotey,9,1347,1061,189,169
Junta municipal,Concepción Horqueta,12,6981,5760,1316,678,1621
Junta municipal,Concepción Sgto José Félix López,9,1249,697,507
Junta municipal,Concepción Loreto,9,2719,2876,465
Junta municipal,Concepción San Carlos del Apa,9,221,126,257,76
Junta municipal,Concepción San Lázaro,9,1973,1051,326,196,368
Junta municipal,Concepción San Alfredo,9,787,837,275
Junta municipal,Concepción Yby Yaú,12,2259,2893,608,934
Junta municipal,Concepción Paso Barreto,9,1170,863,172
Junta municipal,San Pedro San Pedro del Ycuamandyyú,12,6261,4178,609,582,1022
Junta municipal,San Pedro 25 de Diciembre,9,1461,1121,330,269,764
Junta municipal,San Pedro Antequera,9,1153,1290,257
Junta municipal,San Pedro Capiivary,9,4544,4657,277,1319,619,515
Junta municipal,San Pedro Choré,12,3929,2053,45,573,657,2241
Junta municipal,San Pedro Gral Elizardo Aquino,12,3114,962,857,453,843
Junta municipal,San Pedro Gral F Resquin,12,3063,2914,191,1063
Junta municipal,San Pedro Guajayvi,9,4605,4004,24,543,295,42
Junta municipal,San Pedro Itacurubi del Rosario,9,2826,751,720
Junta municipal,San Pedro Liberacion,9,3676,4358,223,617
Junta municipal,San Pedro Lima,9,1384,370,142,898,616
Junta municipal,San Pedro Nueva Germania,9,1659,622,239
Junta municipal,San Pedro San Estanislao,12,5637,2847,635,1241,1290,150
Junta municipal,San Pedro San Pablo,9,533,297,291,31,610,178
Junta municipal,San Pedro Santa Rosa del Aguaray,12,3775,2911,552,143,675,42
Junta municipal,San Pedro Tacuati,9,1615,890,337,336
Junta municipal,San Pedro Union,9,1461,1024,116,96
Junta municipal,San Pedro Villa del Rosario,9,2279,361,148,283,804
Junta municipal,San Pedro Yataity del Norte,9,2083,2796,165,459
Junta municipal,San Pedro Yrybucua,9,1618,2353,315,352
Junta municipal,Cordillera Caacupé,12,8057,8991,515,222,758,707
Junta municipal,Cordillera 1ro de Marzo,9,732,1165,80,539
Junta municipal,Cordillera Altos,9,2126,2784,510,116
Junta municipal,Cordillera Arroyos y Esteros,12,3964,2115,344
Junta municipal,Cordillera Atyrá,9,3485,3066,68,105,323
Junta municipal,Cordillera Caraguatay,12,2314,1627,326
Junta municipal,Cordillera Emboscada,9,2759,3202,283,354,178
Junta municipal,Cordillera Eusebio Ayala,12,3186,1433,801,500,318
Junta municipal,Cordillera Isla Pucú,9,1189,1331,323,213
Junta municipal,Cordillera Itacurubi de la Cordillera,9,2382,1967,926,323
Junta municipal,Cordillera Juan de Mena,9,794,1102,241,329,135
Junta municipal,Cordillera Loma Grande,9,1304,944
Junta municipal,Cordillera Mbocayaty del Yhaguy,9,880,1358
Junta municipal,Cordillera Nueva Colombia,9,1299,1267,152
Junta municipal,Cordillera Piribebuy,12,4853,4640,253,231,800
Junta municipal,Cordillera San Bernardino,12,2043,1926,624,689,620,165
Junta municipal,Cordillera San José Obrero,9,734,909,118
Junta municipal,Cordillera Santa Elena,9,1442,858,327,402,52
Junta municipal,Cordillera Tobatí,12,4081,5123,781,200,401
Junta municipal,Cordillera Valenzuela,9,1323,1389,361,287
Junta municipal,Guairá Villarrica,12,11830,9414,776,539,352,1215
Junta municipal,Guairá Borja,9,2326,703
Junta municipal,Guairá Cap Mauricio José Troche,9,1673,711,798,175,395,366
Junta municipal,Guairá Coronel Martínez,9,1042,916,23,725
Junta municipal,Guairá Dr Botrell,9,368,116,120,57,147,43
Junta municipal,Guairá Félix Pérez Cardozo,9,2002,538
Junta municipal,Guairá Gral E A Garay,9,1710,1441,279
Junta municipal,Guairá Independencia,9,3009,1464,286,436,82,218,946,126
Junta municipal,Guairá Itape,9,1190,1356,29,627
